Palabra,frecuencia
abab,1
ababoles,3
abacara,2
abacial,3
abactrim,5
abad,28
abad,28
abad,28
abadejo,2
abades,4
abadesa,8
abadía,6
abadía,6
abadías,1
abajeños,1
abajo,562
abajo,562
abal,1
abaladas,1
abalanza,4
abalanzaba,1
abalanzaban,1
abalanzado,1
abalanzamos,1
abalanzan,3
abalanzaron,5
abalanzarse,5
abalanzarte,1
abalanzase,1
abalanzándonos,1
abalanzándose,1
abalanzó,12
abalorio,1
abalorios,6
abancalamiento,1
abanderada,3
abanderadas,1
abanderado,5
abanderado,5
abanderado,5
abanderados,6
abanderados,6
abanderó,2
abandona,73
abandona,73
abandonaba,39
abandonaban,10
abandonada,66
abandonada,66
abandonadas,24
abandonadas,24
abandonadita,1
abandonado,156
abandonado,156
abandonados,37
abandonados,37
abandonamos,9
abandonan,30
abandonando,28
abandonar,271
abandonara,14
abandonaran,7
abandonarla,16
abandonarlas,3
abandonarle,2
abandonarles,2
abandonarlo,18
abandonarlo,18
abandonarlos,5
abandonarme,9
abandonarnos,3
abandonaron,42
abandonarse,14
abandonará,5
abandonarán,1
abandonaré,5
abandonaría,6
abandonaríamos,1
abandonarían,3
abandonas,7
abandonase,7
abandonasen,3
abandonaste,2
abandone,22
abandone,22
abandonemos,1
abandonen,8
abandonen,8
abandones,3
abandonista,2
abandono,146
abandono,146
abandonos,6
abandonándola,1
abandonándolo,1
abandonándolos,1
abandonándonos,1
abandonándose,2
abandonándote,1
abandoné,9
abandonó,118
abandónela,1
abanica,2
abanicaba,7
abanicada,2
abanicando,1
abanicarme,1
abanicaron,1
abanicarse,4
abanico,46
abanicos,13
abanicándose,3
abanicó,2
abanto,1
abaratado,2
abaratamiento,5
abaratan,1
abaratando,1
abaratar,7
abaratarla,2
abarataron,1
abaratasen,1
abaraten,2
abarató,2
abarca,32
abarca,32
abarca,32
abarca,32
abarcaba,11
abarcables,1
abarcada,2
abarcado,2
abarcados,1
abarcan,12
abarcando,2
abarcar,25
abarcara,1
abarcarla,1
abarcarlo,1
abarcarse,1
abarcará,1
abarcarán,1
abarcaré,1
abarcaría,1
abarcarían,1
abarcas,2
abarcas,2
abarcó,2
abarque,4
abarquillada,1
abarquillados,1
abarrota,1
abarrotaba,1
abarrotada,10
abarrotada,10
abarrotadas,4
abarrotado,8
abarrotado,8
abarrotado,8
abarrotados,5
abarrotados,5
abarrotan,1
abarrotando,2
abarrotaron,1
abarrotarse,1
abarrote,1
abarroten,1
abascal,11
abastados,1
abastece,1
abastecedor,1
abastecedora,1
abastecedores,1
abastecer,8
abastecerse,1
abastecible,1
abastecidas,3
abastecido,2
abastecidos,1
abasteciendo,1
abastecimiento,17
abastecimientos,3
abasteció,1
abastecía,3
abastecían,2
abasto,13
abastos,5
abastos,5
abate,8
abate,8
abaten,1
abatible,1
abatibles,1
abatida,8
abatida,8
abatidas,5
abatidas,5
abatido,28
abatido,28
abatidos,4
abatiendo,1
abatiera,2
abatieron,1
abatimiento,18
abatimientos,1
abatimos,1
abatir,5
abatirlas,1
abatirlo,1
abatirlos,2
abatirse,3
abatirá,1
abatiría,1
abatió,10
abatí,2
abatía,3
abatían,1
abbadón,1
abbas,1
abbott,5
abbys,1
abc,77
abceso,1
abd,1
abdallah,2
abdelhadi,3
abdelkader,2
abderrahman,1
abdica,4
abdica,4
abdicaba,1
abdicación,2
abdicado,5
abdican,1
abdicando,1
abdicar,1
abdicaría,1
abdicase,1
abdicasteis,1
abdicó,1
abdo,1
abdomen,31
abdominal,14
abdominales,10
abdoujaparov,2
abduciones,1
abductores,2
abdómen,2
abdón,4
abe,1
abecedario,2
abecedario,2
abedul,2
abedules,5
abeja,20
abejas,39
abejorro,1
abejorros,2
abejón,1
abel,52
abelardo,15
abeleira,1
abeleiras,2
abelis,1
abellán,3
abendújar,2
abengoa,4
aberats,1
aberdeen,2
aberracioncita,1
aberraciones,6
aberración,16
aberrante,15
aberrantes,4
aberri,1
aberria,1
abertura,21
aberturas,7
abertzale,20
abertzale,20
abertzales,8
abertzales,8
abesugados,1
abeto,7
abetos,3
abhorret,1
abierta,307
abierta,307
abiertas,125
abiertas,125
abierto,365
abierto,365
abierto,365
abierto,365
abiertos,121
abiertos,121
abiertos,121
abiertísima,1
abigarrada,13
abigarrada,13
abigarradas,2
abigarrado,15
abigarrado,15
abigarrados,6
abigarrados,6
abigaíl,3
abila,1
abimbola,2
abingworth,1
abisag,1
abisal,3
abisales,8
abisma,2
abismado,1
abismal,15
abismales,2
abismo,92
abismo,92
abismos,21
abismándose,1
abismó,2
abjazia,1
abjuraban,1
abjuración,3
abjurado,3
abjurar,3
abjuro,2
abjuró,1
ablación,1
ablanda,3
ablandaba,4
ablandaban,2
ablandado,2
ablandamiento,5
ablandan,1
ablandando,1
ablandar,8
ablandarme,1
ablandarse,2
ablandarías,1
ablande,1
