word	frq	num_letters	
aaron	12.969841	5	
aarón	1.366157	5	
ababa	0.103759	5	
abajo	229.129530	5	
abasi	0.229134	5	
abate	0.767382	5	
abeba	0.162123	5	
abeja	6.346575	5	
abeto	0.603098	5	
abner	1.307792	5	
aboga	0.214002	5	
abono	2.057881	5	
about	11.400490	5	
abran	32.716423	5	
abras	7.840269	5	
abren	6.975613	5	
abres	7.163675	5	
abrid	5.378161	5	
abril	15.769165	5	
abrir	66.418555	5	
abrió	17.868117	5	
abría	2.336733	5	
abrís	0.192386	5	
abusa	1.044072	5	
abuse	0.501501	5	
abuso	8.832462	5	
abusé	0.330731	5	
abusó	1.191064	5	
acaba	142.225112	5	
acabe	26.404434	5	
acabo	126.810457	5	
acabé	8.134252	5	
acabó	113.362893	5	
acaso	68.627751	5	
acata	0.155638	5	
acato	0.192386	5	
accra	0.114567	5	
acebo	0.248589	5	
acera	6.623265	5	
acero	20.961424	5	
acoge	0.592289	5	
acogí	0.188063	5	
acoja	0.354509	5	
acojo	0.175093	5	
acolo	0.296145	5	
acosa	1.054880	5	
acose	0.153476	5	
acoso	5.484081	5	
acosé	0.103759	5	
acosó	0.479884	5	
acres	3.099792	5	
actas	1.039749	5	
actor	29.674996	5	
actos	15.336837	5	
actua	1.156477	5	
actué	2.384289	5	
actuó	4.193582	5	
actúa	15.122834	5	
actúe	3.039266	5	
actúo	2.615585	5	
acuda	1.595290	5	
acude	1.811454	5	
acudo	0.765221	5	
acudí	0.957607	5	
acuna	0.118890	5	
acura	0.214002	5	
acusa	7.440365	5	
acuse	1.048395	5	
acuso	2.042750	5	
acusé	0.419358	5	
acusó	2.859850	5	
acuña	0.216164	5	
acuñó	0.103759	5	
adama	4.003358	5	
adams	9.604167	5	
addis	0.328569	5	
adela	0.894919	5	
adina	0.224811	5	
adios	47.132401	5	
adiós	344.152563	5	
adobe	0.326408	5	
adobo	0.196709	5	
adolf	3.011165	5	
adora	9.889504	5	
adore	0.646330	5	
adoro	25.096642	5	
adoré	0.285336	5	
adoró	0.188063	5	
adria	0.343701	5	
adula	0.201033	5	
afila	0.278852	5	
afiló	0.105920	5	
afina	0.216164	5	
aforo	0.112405	5	
after	2.948477	5	
again	3.562383	5	
agata	0.218326	5	
agita	2.209196	5	
agite	0.458268	5	
agito	1.106760	5	
agité	0.140507	5	
agitó	0.425843	5	
agnes	5.659174	5	
agora	2.120569	5	
agota	1.902243	5	
agote	0.739281	5	
agoto	0.123213	5	
agoté	0.190224	5	
agotó	1.139184	5	
agria	0.977061	5	
agrio	0.849525	5	
aguar	0.296145	5	
aguas	17.632499	5	
aguda	3.248945	5	
agudo	3.849881	5	
aguja	12.340803	5	
ahmad	1.400743	5	
ahmed	2.978740	5	
ahoga	2.708535	5	
ahogo	2.583160	5	
ahogó	5.220361	5	
ahora	2510.543978	5	
aimee	0.812777	5	
aires	9.351255	5	
aisha	1.394258	5	
aislé	0.252912	5	
aisló	0.412873	5	
ajena	2.016810	5	
ajeno	1.999517	5	
ajuar	0.700371	5	
alaba	0.776029	5	
alabe	0.112405	5	
alabo	0.285336	5	
alabó	0.183739	5	
alada	0.270205	5	
alado	0.661462	5	
alain	1.919536	5	
alamo	0.611744	5	
alana	0.979223	5	
albin	0.479884	5	
album	1.692564	5	
alcen	0.769544	5	
alces	1.018133	5	
